2021-02-10 00:33:19,091 Extension .CR2 of IMG_8851.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8852.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8853.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8854.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8855.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8856.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8857.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8858.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8860.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8861.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8876.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8877.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8878.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8879.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8880.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8881.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8882.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8883.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8885.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8888.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8889.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8891.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8901.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8904.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8905.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8906.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8911.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8915.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8917.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8918.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8919.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8920.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8921.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8922.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8923.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8924.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8925.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8926.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8927.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8928.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8929.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8930.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8931.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8932.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8933.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8934.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8935.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8936.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8937.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8943.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8948.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8965.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8967.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8969.CR2 not recognized!, skipping...
2021-02-10 00:33:19,092 Extension .CR2 of IMG_8970.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of IMG_9136.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of IMG_9428.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9172.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9174.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9176.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9178.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9179.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9182.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9184.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9186.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9188.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9199.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9240.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9250.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9252.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9253.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9263.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9264.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9271.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9272.CR2 not recognized!, skipping...
2021-02-10 00:33:19,093 Extension .CR2 of _MG_9273.CR2 not recognized!, skipping...
